Location,Fractional Days
Hawaii,20.2
Texas,2.7
Louisiana,2.5
Bahamas,2.1
The Bahamas,2.0
Washington,1.9
Georgia,0.2
Montana,0.1
North Carolina,0.1
South Carolina,0.1
Alabama,0.0
Tennessee,0.0
Idaho,0.0
